mun,zip,prov,year,geom_id,bin_pop,percentile_bin,r_bin
AGLIANO TERME,NA,AT,2011,98MF,0.33890605077394975,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGLIANO TERME,NA,AT,2011,98MF,0.06157429341279108,"[0.9,1)","[4.53e+04,Inf)"
AGLIE,NA,TO,2011,5eyQ,0.4223652390774607,"[0,0.5)","[0,1.6e+04)"
AGLIE,NA,TO,2011,5eyQ,0.46945697106545015,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGLIE,NA,TO,2011,5eyQ,0.10817778985708915,"[0.9,1)","[4.53e+04,Inf)"
AGLIENTU,NA,OT,2011,NA,0.673223400508229,"[0,0.5)","[0,1.6e+04)"
AGLIENTU,NA,OT,2011,NA,0.2791563513636305,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGLIENTU,NA,OT,2011,NA,0.047620248128140474,"[0.9,1)","[4.53e+04,Inf)"
AGNA,NA,PD,2011,Rj6e,0.5206685406766448,"[0,0.5)","[0,1.6e+04)"
AGNA,NA,PD,2011,Rj6e,0.422412323494322,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGNA,NA,PD,2011,Rj6e,0.056919135829033185,"[0.9,1)","[4.53e+04,Inf)"
AGNADELLO,NA,CR,2011,Jb9a,0.44749571007227684,"[0,0.5)","[0,1.6e+04)"
AGNADELLO,NA,CR,2011,Jb9a,0.46428538734825986,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGNADELLO,NA,CR,2011,Jb9a,0.0882189025794633,"[0.9,1)","[4.53e+04,Inf)"
AGNANA CALABRA,NA,RC,2011,VZ5s,0.8016417559529645,"[0,0.5)","[0,1.6e+04)"
AGNANA CALABRA,NA,RC,2011,VZ5s,0.183083613517794,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGNANA CALABRA,NA,RC,2011,VZ5s,0.015274630529241495,"[0.9,1)","[4.53e+04,Inf)"
AGNONE,NA,IS,2011,p5uZ,0.5884494785131068,"[0,0.5)","[0,1.6e+04)"
AGNONE,NA,IS,2011,p5uZ,0.33215845248414955,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGNONE,NA,IS,2011,p5uZ,0.07939206900274365,"[0.9,1)","[4.53e+04,Inf)"
AGNOSINE,NA,BS,2011,4UmO,0.4592531818929255,"[0,0.5)","[0,1.6e+04)"
AGNOSINE,NA,BS,2011,4UmO,0.4593940812917582,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGNOSINE,NA,BS,2011,4UmO,0.0813527368153163,"[0.9,1)","[4.53e+04,Inf)"
AGORDO,NA,BL,2011,cPiu,0.3938266837512693,"[0,0.5)","[0,1.6e+04)"
AGORDO,NA,BL,2011,cPiu,0.4982989437479989,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGORDO,NA,BL,2011,cPiu,0.10787437250073184,"[0.9,1)","[4.53e+04,Inf)"
AGOSTA,NA,RM,2011,KA8G,0.4758681136110042,"[0,0.5)","[0,1.6e+04)"
AGOSTA,NA,RM,2011,KA8G,0.456095282185732,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGOSTA,NA,RM,2011,KA8G,0.06803660420326385,"[0.9,1)","[4.53e+04,Inf)"
AGRA,NA,VA,2011,At7s,0.6120859018085155,"[0,0.5)","[0,1.6e+04)"
AGRA,NA,VA,2011,At7s,0.308167102012987,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGRA,NA,VA,2011,At7s,0.07974699617849745,"[0.9,1)","[4.53e+04,Inf)"
AGRATE BRIANZA,NA,MB,2011,gXe6,0.3600412603625801,"[0,0.5)","[0,1.6e+04)"
AGRATE BRIANZA,NA,MB,2011,gXe6,0.4985036726650701,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGRATE BRIANZA,NA,MB,2011,gXe6,0.14145506697234977,"[0.9,1)","[4.53e+04,Inf)"
AGRATE CONTURBIA,NA,NO,2011,5RvQ,0.42549445549702275,"[0,0.5)","[0,1.6e+04)"
