i,j,geom_id,year,cell_percent_of_total_agents,percent_of_agent_type,agent_type,likelyhood
5,2,58bI,2021,0.024469758441516685,0.0991293167953069,A,0.002425670436453743
0,5,FpRa,2021,0.013726586832528533,0.47466634870595964,C,0.0065155488519916226
0,5,FpRa,2021,0.013726586832528533,0.44606468478374667,B,0.006122945628608567
0,5,FpRa,2021,0.013726586832528533,0.07926896651029369,A,0.0010880923519283427
6,3,2BL6,2021,0.023666791610223486,0.5682664291693076,C,0.013449043158235828
6,3,2BL6,2021,0.023666791610223486,0.37164035311192944,B,0.008795534791049905
6,3,2BL6,2021,0.023666791610223486,0.06009321771876297,A,0.0014222136609377527
5,5,AeMe,2021,0.01889637328058064,0.5152103024771093,C,0.009735606193608318
5,5,AeMe,2021,0.01889637328058064,0.42914601207224856,B,0.008109303235989775
5,5,AeMe,2021,0.01889637328058064,0.05564368545064213,A,0.0010514638509825478
0,2,Gke1,2021,0.028658046971444334,0.3900890355913377,C,0.011179189905021975
0,2,Gke1,2021,0.028658046971444334,0.37697910810179436,B,0.010803484987234414
0,2,Gke1,2021,0.028658046971444334,0.23293185630686797,A,0.006675372079187944
1,3,vl2G,2021,0.025458871429695558,0.4746333475038912,C,0.01208362937034758
1,3,vl2G,2021,0.025458871429695558,0.402164289592557,B,0.01023864894235176
1,3,vl2G,2021,0.025458871429695558,0.1232023629035518,A,0.0031365931169962187
4,5,Cmz5,2021,0.016203176838002924,0.5631261940859176,C,0.009124433304885679
4,5,Cmz5,2021,0.016203176838002924,0.3924452603199875,B,0.006358859952200849
4,5,Cmz5,2021,0.016203176838002924,0.044428545594094926,A,7.198835809163958e-4
5,3,lNBz,2021,0.027316102404077617,0.44000514632340704,C,0.012019225635291342
5,3,lNBz,2021,0.027316102404077617,0.4267412677984611,B,0.011656908171228674
5,3,lNBz,2021,0.027316102404077617,0.13325358587813185,A,0.0036399685975576006
6,4,Dcwn,2021,0.013164763886291774,0.4740820125782537,C,0.006241177758330717
6,4,Dcwn,2021,0.013164763886291774,0.449475971829515,B,0.005917245041697098
6,4,Dcwn,2021,0.013164763886291774,0.0764420155922313,A,0.0010063410862639593
3,2,yIPm,2021,0.020441386382731727,0.4012644303277967,C,0.008202401261977226
3,2,yIPm,2021,0.020441386382731727,0.4120323054590235,B,0.008422511558055642
3,2,yIPm,2021,0.020441386382731727,0.18670326421317984,A,0.0038164735626988583
2,1,xDEU,2021,0.010801553812738658,0.4535765650737571,C,0.0048993316758413445
2,1,xDEU,2021,0.010801553812738658,0.3874874116124605,B,0.0041854661282908065
2,1,xDEU,2021,0.010801553812738658,0.15893602331378243,A,0.0017167560086065068
2,3,s6ny,2021,0.016441782366374558,0.5075930861150151,C,0.008345735052579498
2,3,s6ny,2021,0.016441782366374558,0.4004594469713344,B,0.006584267073661393
2,3,s6ny,2021,0.016441782366374558,0.09194746691365052,A,0.0015117802401336672
3,5,Yjp3,2021,0.02147195919676241,0.5391441031731538,C,0.011576480184509021
3,5,Yjp3,2021,0.02147195919676241,0.41206881722579614,B,0.008847924829730442
3,5,Yjp3,2021,0.02147195919676241,0.04878707960105011,A,0.0010475541825229477
0,4,kAVI,2021,0.028571742844160974,0.5538100408154468,C,0.01582331807069324
0,4,kAVI,2021,0.028571742844160974,0.3846485453098656,B,0.010990079321974081
0,4,kAVI,2021,0.028571742844160974,0.06154141387468759,A,0.001758345451493654
0,3,9L8b,2021,0.029098874915705404,0.4982717718664897,C,0.014499147963569882
0,3,9L8b,2021,0.029098874915705404,0.41257722780628864,B,0.012005533145003687
0,3,9L8b,2021,0.029098874915705404,0.08915100032722167,A,0.002594193807131835
4,3,zYFB,2021,0.034965017214288914,0.553874775592193,C,0.019366241063141436
4,3,zYFB,2021,0.034965017214288914,0.40227004317188686,B,0.014065378984297768
4,3,zYFB,2021,0.034965017214288914,0.04385518123592014,A,0.0015333971668497078
